"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","213","Patch User with valid data","","Wed Aug 14 14:16:56 AMT 2024","passed","Wed Aug 14 14:16:56 AMT 2024","","test_patch_update","",""
"","197","Create User with valid data","","Wed Aug 14 14:16:56 AMT 2024","passed","Wed Aug 14 14:16:56 AMT 2024","","test_post_create","",""
"","197","Register User Unsuccessfully - Missing Password","","Wed Aug 14 14:16:57 AMT 2024","passed","Wed Aug 14 14:16:57 AMT 2024","","test_post_register_unsuccesfull","",""
"","3262","Delayed Response for List Users","","Wed Aug 14 14:16:52 AMT 2024","passed","Wed Aug 14 14:16:55 AMT 2024","","test_get_delayed_response","",""
"","269","test_get_single_user_not_found","","Wed Aug 14 14:16:55 AMT 2024","passed","Wed Aug 14 14:16:56 AMT 2024","","test_get_single user_not_found","",""
"","385","Delete User","","Wed Aug 14 14:16:52 AMT 2024","passed","Wed Aug 14 14:16:52 AMT 2024","","test_delete_user","",""
"","262","Register User Successfully","","Wed Aug 14 14:16:57 AMT 2024","passed","Wed Aug 14 14:16:57 AMT 2024","","test_post_register","",""
"","231","Update User with valid data","","Wed Aug 14 14:16:57 AMT 2024","passed","Wed Aug 14 14:16:58 AMT 2024","","test_put_update","",""
"","210","Login User Unsuccessfully - Missing Password","","Wed Aug 14 14:16:57 AMT 2024","passed","Wed Aug 14 14:16:57 AMT 2024","","test_post_login_unsuccessful","",""
"","49","test_get_single_user","","Wed Aug 14 14:16:56 AMT 2024","passed","Wed Aug 14 14:16:56 AMT 2024","","test_get_single_user","",""
"","420","Login User Successfully","","Wed Aug 14 14:16:56 AMT 2024","passed","Wed Aug 14 14:16:57 AMT 2024","","test_post_login","",""
"","52","test_get_list_users","","Wed Aug 14 14:16:56 AMT 2024","passed","Wed Aug 14 14:16:56 AMT 2024","","test_get_users","",""
